ID;AreaName_lang;OrderIndex;PlayerConditionID;Field_11_1_5_59571_004;AreaID
1;Chamber of Lost Light;0;68604;0;9994
2;Terrace of Crafters;1;63282;0;8670
3;Anchors Down;0;63448;0;9401
4;The Drunk Tank;0;63426;0;9617
5;Sink n' Swim;0;5703;0;9617
6;Heyman's Hideaway;0;63291;0;8502
7;The Sand Bar;0;63292;0;8733
8;The Screaming Pit;0;5703;0;9698
9;Torga's Tavern;0;63306;0;8502
10;The Whale's Belly;0;63374;0;8567
11;Peon Hideout;0;65214;0;5484
12;Grong's Grotto;0;65990;0;9420
13;Grong's Grotto;0;65990;0;8731
15;Safe House;0;67602;0;9979
16;Safe House;0;67602;0;8717
17;Anduin's Wrath;0;67138;0;10454
18;Dawnsailor;0;67139;0;10454
19;Tiffin's Melody;0;67140;0;10454
20;The Lionheart;0;67141;0;10454
21;The Lionheart;0;67141;0;10455
22;Tiffin's Melody;0;67140;0;10455
23;Dawnsailor;0;67139;0;10455
24;Anduin's Wrath;0;67138;0;10455
25;Light of the Loa;0;68603;0;9994
27;Mad Duke's Parlor;0;73061;0;10985
28;Costel's Hideout;0;73506;0;10985
29;Manor of Minions;1;76787;0;10985
30;Seat of the Primus;0;78035;0;11466
31;Citadel of Doubt;0;0;0;13311
42;Zerekriss;0;85380;0;11462
43;The Stitchwerks;0;86352;0;13473
44;Zolramus;0;86354;0;13473
45;Arkoban Hall;0;87430;0;13400
46;Torment Chamber: Jaina;0;87491;0;13404
47;Torment Chamber: Thrall;0;87550;0;13413
48;Ring of Dance;0;88819;0;11510
49;Ring of Dance;0;88819;0;12244
50;Ring of Dance;0;88819;0;12243
51;Ossuary of the Banished;0;89786;0;13575
52;Temple of Devotion;0;91076;0;11379
53;The Rift;0;91308;0;13196
54;The Rift;0;91308;0;11524
55;The Rift;0;91308;0;11528
56;The Rift;0;91308;0;11530
57;The Rift;0;91308;0;11400
58;The Rift;0;91308;0;13217
59;The Rift;0;91308;0;13216
60;The Rift;0;91308;0;13560
61;The Rift;0;91308;0;11526
62;The Rift;0;91308;0;13215
63;Hollow of the Insolent;0;91308;0;13432
64;The Rift;0;91308;0;11525
65;The Rift;0;91308;0;13222
66;The Rift;0;91308;0;11529
67;The Rift;0;91308;0;13223
68;The Rift;0;91308;0;13437
69;The Rift;0;91308;0;13218
70;The Rift;0;91308;0;13491
71;The Rift;0;91308;0;13492
72;The Rift;0;91308;0;11527
73;The Rift;0;91308;0;13219
74;The Rift;0;91308;0;13221
75;The Rift;0;91308;0;13570
76;The Rift;0;91308;0;13624
77;The Rift;0;91308;0;13625
78;The Rift;0;91308;0;13626
79;The Rift;0;91308;0;13627
80;The Rift;0;91308;0;13628
81;The Rift;0;91308;0;13629
82;The Rift;0;91308;0;13630
83;The Rift;0;91308;0;13631
84;The Rift;0;91308;0;13666
85;The Rift;0;91308;0;13673
86;The Rift;0;91308;0;13677
87;The Rift;0;91308;0;13538
88;Penance of the Fallen King;0;92820;0;13561
89;The Eye's Overlook;3;92897;0;13561
90;The Bubble Bath;0;102752;0;14158
91;The Drifter's Dive;0;105179;0;13646
92;Zskera Vault: Ur;0;105458;0;14619
93;Zskera Vault: Az;0;105457;0;14619
94;Zskera Vaults;0;108147;0;14619
95;Zskera Vault: Kx;0;106952;0;14619
96;Zskera Vault: Ix;0;105459;0;14619
97;Suffusion Camp: Frostburn;3;109548;0;13892
98;Suffusion Camp: Cinderwind;1;107864;0;13754
99;Suffusion Camp: Frostburn;1;109548;0;13860
100;Ruins of Boulderhome;0;111020;0;14875
101;Grand Rampart;1;125385;0;15362
103;Grand Rampart;1;125385;0;15364
104;Terrace of Majesty;1;125954;0;15365
105;The Ascending Reach;1;126053;0;15365
106;Kili-zar Arena;1;126056;0;15365
107;Entrepreneur Inc.;0;127336;0;15351
108;Entrepreneur Inc.;0;127336;0;15350
109;The Moneymaker;0;128497;0;15347
110;Untethered Space;1;131100;0;15336
111;Seat of the Devourer;0;136567;0;16358
112;The Sunsilver Accord;0;142239;0;15969
113;Remnants of Conquest;0;143125;0;16339
114;Remnants of Entropy;0;143126;0;16339
115;Devourer's Heart;0;143128;0;16339
116;A Wounded Place;0;145760;0;16214
117;Umbral Atrium;1;145964;0;16665
118;Voidstorm;0;146510;0;16542
120;Sanctuary of the Mind-Seekers;0;148754;0;13198
121;Observation Grounds;0;152273;1;15829
122;Constellarium;0;152287;1;15829
124;South Antechamber;0;156793;0;17068
